inserts/s,updates/s,deletes/s,reads/s
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
63.63, 190.89, 63.63, 26662.39
83.79, 251.37, 83.79, 35108.49
83.99, 252.17, 83.99, 35264.07
88.99, 266.97, 88.99, 37256.67
87.89, 263.77, 87.89, 36826.02
88.19, 264.27, 88.19, 36940.91
90.59, 271.77, 90.59, 37947.41
97.89, 293.67, 97.89, 40994.60
92.49, 277.87, 92.59, 38835.42
92.59, 277.37, 92.49, 38712.13
91.99, 275.97, 91.99, 38584.94
92.79, 278.37, 92.79, 38849.02
128.49, 385.46, 128.49, 53826.42
133.79, 401.36, 133.79, 56096.89
132.79, 398.36, 132.79, 55604.94
133.89, 402.46, 133.99, 56250.47
133.29, 399.36, 133.19, 55721.23
140.39, 420.86, 140.39, 58780.32
138.49, 415.46, 138.49, 58116.49
144.19, 432.56, 144.19, 60370.96
150.98, 453.35, 151.08, 63289.07
151.18, 453.25, 151.08, 63343.67
135.69, 406.96, 135.69, 56799.82
130.79, 392.76, 130.89, 54886.71
177.18, 531.25, 177.08, 74193.58
180.38, 541.25, 180.38, 75529.25
193.08, 580.24, 193.18, 81058.39
184.28, 552.04, 184.18, 77080.39
182.68, 547.65, 182.68, 76558.94
185.58, 556.74, 185.58, 77821.42
186.18, 558.54, 186.18, 77829.42
192.08, 576.74, 192.18, 80564.64
185.38, 555.64, 185.28, 77636.04
191.18, 573.84, 191.18, 80106.09
191.98, 575.94, 191.98, 80489.95
188.58, 565.44, 188.58, 78954.30
216.08, 648.54, 216.08, 90668.23
234.98, 705.13, 235.08, 98275.17
204.89, 614.49, 204.89, 85821.11
234.88, 704.43, 234.78, 98399.06
229.58, 689.43, 229.58, 96237.48
241.88, 724.83, 241.88, 101306.87
224.48, 673.73, 224.48, 94144.99
227.18, 681.83, 227.18, 95066.19
218.88, 656.13, 218.88, 91571.04
231.38, 694.03, 231.38, 96999.20
220.98, 663.23, 221.08, 92616.94
224.08, 672.53, 224.18, 93793.52
257.77, 773.02, 257.57, 107988.70
272.27, 816.62, 272.27, 114059.79
279.57, 839.22, 279.67, 117124.89
269.87, 810.12, 270.07, 113098.39
257.37, 771.62, 257.07, 107707.83
267.47, 801.82, 267.47, 111943.61
274.97, 824.92, 274.97, 115138.29
272.27, 818.02, 272.47, 114224.18
265.67, 796.72, 265.67, 111288.57
266.27, 798.32, 266.17, 111515.35
265.07, 795.12, 265.07, 110901.51
266.57, 800.22, 266.67, 111702.13
290.17, 870.71, 290.17, 121616.94
291.67, 875.11, 291.77, 122116.29
293.07, 879.01, 292.97, 122714.03
277.37, 833.02, 277.47, 116310.47
286.17, 858.81, 286.37, 119988.00
284.87, 855.81, 285.07, 119317.57
266.07, 796.02, 265.61, 111230.52
298.97, 896.91, 298.97, 125136.89
292.47, 877.51, 292.47, 122662.13
281.37, 843.92, 281.37, 117755.42
288.57, 865.81, 288.57, 120819.02
296.47, 889.41, 296.47, 124145.89
297.37, 892.21, 297.47, 124724.03
304.97, 914.51, 304.87, 127505.05
306.47, 920.11, 306.47, 128637.64
306.27, 919.01, 306.37, 128166.58
305.67, 916.91, 305.67, 128089.69
303.77, 911.01, 303.77, 127150.78
294.27, 883.01, 294.17, 123299.27
299.17, 896.91, 299.07, 125124.29
298.97, 897.91, 298.87, 125593.54
307.17, 920.91, 307.17, 128432.26
305.27, 915.61, 305.27, 127752.82
294.57, 884.31, 294.67, 123487.35
301.57, 904.01, 301.47, 126217.88
290.37, 871.71, 290.47, 121694.33
296.17, 888.51, 296.17, 124000.30
296.67, 890.01, 296.67, 124412.66
294.17, 883.21, 294.27, 123076.79
302.67, 908.21, 302.67, 126826.42
308.37, 924.11, 308.17, 129140.09
281.07, 843.74, 281.16, 117908.64
302.77, 907.91, 302.67, 126579.44
306.47, 918.71, 306.37, 128359.26
303.67, 913.61, 303.67, 127316.47
305.57, 915.31, 305.77, 127921.91
308.97, 926.91, 308.77, 129348.07
305.77, 917.21, 305.67, 128255.27
317.67, 952.10, 317.67, 132664.53
283.27, 850.51, 283.37, 118822.52
295.27, 885.91, 295.27, 123693.23
307.27, 922.71, 307.37, 128813.02
294.67, 884.71, 294.77, 123376.36
314.37, 941.31, 314.17, 131500.85
310.97, 933.21, 311.07, 130520.15
313.77, 940.81, 313.67, 131305.27
312.87, 938.71, 312.97, 130809.62
322.07, 966.80, 321.97, 135012.20
311.57, 933.81, 311.67, 130417.46
313.87, 941.91, 313.87, 131495.75
327.87, 984.10, 327.77, 137417.16
313.17, 938.91, 313.17, 131019.10
299.57, 899.11, 299.67, 125575.74
316.97, 950.90, 317.07, 132631.84
286.34, 859.01, 286.25, 120249.16
305.07, 915.81, 305.27, 127518.15
311.47, 933.81, 311.17, 130538.45
310.57, 931.71, 310.57, 129962.70
316.87, 950.50, 316.97, 132662.03
288.67, 868.21, 288.67, 121313.77
296.37, 886.71, 296.27, 123935.21
296.17, 888.71, 296.17, 124303.67
304.57, 913.71, 304.57, 127055.89
305.97, 917.91, 305.97, 128329.97
295.17, 886.91, 295.47, 123643.24
291.27, 872.31, 291.07, 121836.62
300.57, 902.41, 300.67, 125956.60
296.27, 888.01, 296.07, 124199.28
300.37, 902.11, 300.57, 125753.72
288.47, 865.01, 288.37, 120976.20
300.07, 900.61, 300.17, 125453.25
308.67, 926.71, 308.87, 129481.95
302.97, 908.21, 302.97, 126824.02
299.17, 898.51, 299.17, 125636.54
267.61, 802.84, 267.52, 111937.37
298.37, 894.01, 298.37, 125126.89
291.17, 872.61, 290.97, 121161.18
306.57, 921.51, 306.57, 128990.80
295.57, 884.71, 295.57, 123234.88
305.17, 916.01, 305.27, 127850.01
300.97, 902.91, 300.87, 126261.27
273.77, 820.92, 273.77, 114792.32
291.07, 873.61, 291.17, 121699.53
294.27, 883.11, 294.27, 123951.90
289.97, 870.01, 289.97, 121332.97
303.97, 913.11, 304.17, 127103.49
301.57, 904.61, 301.37, 126258.17
296.97, 890.31, 297.07, 124375.06
289.87, 869.81, 289.77, 121548.05
300.47, 901.71, 300.47, 125903.51
286.97, 860.61, 287.07, 120105.99
290.67, 871.51, 290.47, 121591.74
307.57, 921.71, 307.57, 128333.37
291.37, 874.01, 291.37, 122358.66
308.67, 927.31, 308.87, 129421.86
256.61, 769.66, 256.61, 107455.23
298.67, 896.41, 298.57, 125125.59
291.47, 874.11, 291.67, 122545.25
292.07, 876.51, 291.97, 122374.96
289.07, 866.51, 288.97, 120610.84
284.57, 854.01, 284.57, 119235.78
298.27, 896.81, 298.27, 125028.90
306.17, 916.01, 306.17, 128188.08
297.57, 893.51, 297.77, 124513.95
298.67, 896.31, 298.77, 125014.30
296.37, 888.81, 296.27, 124225.78
285.57, 857.41, 285.67, 119907.41
307.87, 924.81, 307.87, 128896.91
283.57, 849.52, 283.47, 119028.40
310.97, 932.11, 310.97, 129781.12
288.57, 864.71, 288.37, 120748.43
307.77, 924.21, 307.77, 128963.20
294.87, 884.61, 294.87, 123391.16
296.87, 890.51, 296.87, 124485.05
290.57, 871.81, 290.67, 121538.55
298.67, 896.01, 298.67, 124982.80
281.37, 843.82, 281.37, 117868.81
289.47, 872.61, 289.77, 121904.01
300.57, 898.81, 300.27, 125628.14
261.61, 784.47, 261.61, 109413.05
287.87, 862.81, 287.97, 120058.99
283.67, 851.01, 283.47, 119739.73
293.57, 880.81, 293.67, 123018.50
294.77, 884.21, 294.67, 123077.29
290.67, 872.71, 290.67, 121558.44
287.77, 863.11, 287.87, 120382.36
296.37, 890.11, 296.37, 124778.52
299.67, 897.91, 299.57, 125054.59
290.97, 872.01, 290.97, 121487.65
299.77, 901.41, 300.07, 125765.32
290.37, 870.31, 290.17, 121936.21
281.27, 845.72, 281.17, 118193.28
288.77, 863.31, 288.87, 120246.08
302.17, 908.51, 302.37, 126739.13
300.87, 903.11, 300.77, 126582.84
302.27, 906.21, 302.37, 126414.76
270.43, 809.84, 270.16, 112770.48
288.57, 867.51, 288.87, 121255.97
292.77, 877.41, 292.67, 122053.19
296.47, 890.31, 296.37, 124491.15
293.37, 880.91, 293.77, 123000.00
280.37, 839.72, 280.07, 117140.09
293.27, 877.91, 293.07, 122353.76
294.17, 884.41, 294.37, 123898.11
302.77, 908.51, 302.77, 127001.80
294.47, 883.51, 294.37, 123337.57
295.67, 885.71, 295.67, 123588.84
297.37, 894.51, 297.67, 124659.93
299.17, 898.71, 299.07, 125830.12
293.37, 876.91, 293.17, 122224.28
300.77, 904.81, 300.97, 126395.56
301.87, 904.21, 301.87, 126558.74
288.17, 862.91, 287.87, 120102.39
285.67, 858.21, 285.97, 119577.74
298.17, 894.41, 298.17, 125277.17
269.79, 809.02, 269.70, 112817.47
304.57, 916.61, 304.77, 127581.14
293.27, 875.41, 292.87, 122334.07
298.27, 896.81, 298.37, 125827.12
289.47, 870.11, 289.67, 121214.28
308.57, 923.01, 308.37, 128967.50
300.17, 901.31, 300.27, 125848.92
305.07, 913.51, 304.87, 127226.98
295.87, 889.91, 296.27, 124714.03
288.77, 865.61, 288.67, 120057.49
299.97, 898.11, 299.67, 125274.77
293.97, 883.01, 293.97, 123648.04
289.77, 871.11, 290.07, 121698.23
296.67, 887.61, 296.37, 124057.59
293.77, 883.21, 293.87, 123272.87
276.16, 830.20, 276.16, 115614.49
305.57, 915.21, 305.77, 127705.93
307.27, 921.21, 307.07, 128967.60
300.17, 902.41, 300.07, 126002.20
296.17, 887.21, 296.47, 123428.46
307.57, 920.01, 307.17, 128679.63
292.07, 876.31, 292.17, 121847.72
295.37, 889.31, 295.37, 124885.21
303.77, 909.31, 303.77, 126893.41
298.87, 899.91, 299.47, 125178.78
290.67, 868.61, 289.97, 122070.59
295.17, 885.51, 295.27, 123012.30
292.17, 876.71, 292.37, 122099.59
298.87, 897.81, 298.57, 125819.32
302.17, 903.81, 302.17, 125835.12
304.37, 917.31, 305.17, 128277.87
303.77, 909.11, 303.07, 126967.60
301.87, 908.91, 302.67, 126905.11
293.47, 881.11, 293.17, 122746.33
275.16, 823.38, 275.16, 115101.90
296.47, 886.61, 295.97, 123725.63
290.97, 872.71, 290.97, 121736.23
311.57, 938.71, 311.77, 131426.56
306.47, 919.01, 306.77, 128228.28
299.97, 899.91, 299.77, 125272.77
294.37, 881.31, 294.07, 123131.69
298.57, 896.81, 298.97, 125190.38
297.77, 890.81, 297.37, 124548.75
274.17, 826.72, 274.37, 115399.26
287.37, 857.91, 287.07, 119731.73
293.47, 885.41, 294.17, 123347.07
290.67, 867.11, 290.07, 121160.48
296.67, 892.01, 296.57, 124439.76
296.57, 889.41, 296.87, 124578.14
305.67, 915.61, 305.87, 127347.07
292.67, 877.71, 292.37, 122897.81
297.27, 892.21, 297.27, 124351.36
261.16, 784.02, 261.34, 109819.29
299.57, 904.71, 299.27, 125983.30
295.47, 880.71, 295.77, 123592.14
302.37, 907.91, 302.57, 126331.87
309.37, 926.91, 308.87, 129684.93
298.27, 895.61, 298.67, 125251.67
294.37, 883.51, 294.37, 122962.20
288.77, 867.91, 288.87, 120947.01
292.77, 875.41, 292.47, 122191.88
283.67, 852.31, 283.97, 119267.77
299.47, 899.31, 299.57, 125077.39
289.47, 867.31, 288.87, 121221.28
282.67, 849.72, 283.17, 119042.10
310.27, 927.01, 309.77, 129833.52
270.61, 815.20, 271.16, 113188.44
290.07, 871.11, 289.77, 121846.72
294.07, 879.01, 293.97, 122882.41
291.67, 873.41, 291.57, 121270.47
290.77, 872.71, 290.67, 121732.53
284.57, 858.11, 284.87, 120346.07
302.67, 906.01, 302.67, 126574.64
290.77, 871.31, 290.57, 120856.41
304.37, 910.61, 304.27, 127363.16
293.57, 882.61, 293.77, 123735.33
293.47, 881.91, 293.37, 122746.63
287.07, 858.81, 287.07, 120028.70
291.37, 873.71, 291.37, 122465.45
305.27, 918.41, 305.57, 128166.78
302.57, 906.31, 302.27, 125941.61
305.17, 915.61, 305.27, 128270.87
272.61, 816.93, 272.34, 113640.76
306.87, 921.71, 307.37, 128964.30
301.47, 907.71, 301.17, 126703.93
299.17, 896.51, 298.97, 124820.22
298.77, 899.11, 299.17, 125419.86
282.47, 842.32, 282.37, 117780.12
285.47, 857.31, 285.37, 120094.99
305.27, 918.61, 305.37, 127621.74
298.87, 893.41, 298.57, 125049.60
299.37, 899.71, 299.67, 125605.84
260.16, 779.57, 260.16, 108957.64
295.87, 885.61, 295.47, 123559.74
283.57, 855.21, 283.97, 119311.37
295.07, 878.61, 294.57, 122840.92
287.67, 866.51, 288.07, 121055.99
290.47, 871.41, 290.57, 121694.63
296.67, 889.11, 296.37, 124202.98
290.37, 874.21, 290.37, 121884.71
291.77, 874.31, 292.17, 121611.74
265.16, 794.11, 264.89, 110871.74
295.37, 885.41, 295.27, 124239.58
285.07, 855.81, 285.17, 120035.30
293.57, 884.71, 293.67, 123014.10
291.47, 868.91, 291.07, 121041.20
286.67, 862.81, 286.87, 120408.26
286.67, 859.21, 286.67, 119881.51
292.37, 874.41, 292.27, 122402.86
293.37, 881.61, 293.47, 122796.02
289.67, 869.11, 289.67, 121309.47
286.97, 859.31, 286.77, 119736.03
290.07, 874.21, 290.27, 121933.41
287.57, 864.31, 287.77, 120778.02
298.47, 895.31, 298.47, 124881.21
297.87, 889.31, 297.47, 124288.47
275.07, 825.42, 275.47, 115693.23
297.97, 894.01, 297.97, 124737.03
294.97, 885.11, 294.77, 123581.14
296.67, 890.01, 296.57, 124345.57
270.52, 811.47, 270.52, 112907.74
293.37, 879.21, 293.27, 123574.64
303.87, 911.01, 303.87, 126432.66
292.17, 880.81, 292.87, 122697.33
296.07, 885.51, 295.37, 124561.44
300.37, 901.01, 300.67, 125244.28
299.57, 897.61, 299.37, 125516.15
298.17, 896.91, 298.37, 124679.03
292.17, 874.91, 291.77, 122330.37
287.27, 866.01, 288.47, 121164.98
295.57, 887.71, 295.27, 123657.53
291.47, 870.11, 291.17, 121639.44
274.07, 820.38, 273.61, 114565.49
283.37, 853.41, 283.77, 119570.54
286.77, 859.51, 287.27, 119198.98
284.57, 856.01, 284.17, 119813.72
294.57, 883.21, 294.47, 123928.41
297.27, 890.41, 296.97, 124288.77
289.67, 869.81, 290.37, 120821.32
296.17, 885.11, 295.37, 123873.21
283.47, 851.21, 283.77, 118655.53
286.47, 862.71, 286.57, 120447.86
291.57, 874.61, 291.97, 121897.31
95.09, 279.47, 94.19, 38298.27
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
